時間	感受性者	感染者	回復者	フェーズ
805.1	123285849.5	10342.5	1703807.9	hammer
805.2	123285644.2	10400.1	1703955.7	hammer
805.3	123285437.8	10458.0	1704104.2	hammer
805.4	123285230.1	10516.2	1704253.6	hammer
805.5	123285021.4	10574.7	1704403.9	hammer
805.6	123284811.4	10633.6	1704554.9	hammer
805.7	123284600.3	10692.8	1704706.9	hammer
805.8	123284388.1	10752.3	1704859.6	hammer
805.9	123284174.6	10812.2	1705013.2	hammer
806.0	123283960.0	10872.3	1705167.7	hammer
806.1	123283744.1	10932.9	1705323.0	hammer
806.2	123283527.1	10993.7	1705479.2	hammer
806.3	123283308.9	11054.9	1705636.2	hammer
806.4	123283089.4	11116.4	1705794.2	hammer
806.5	123282868.7	11178.3	1705953.0	hammer
806.6	123282646.8	11240.5	1706112.7	hammer
806.7	123282423.7	11303.1	1706273.2	hammer
806.8	123282199.3	11366.0	1706434.7	hammer
806.9	123281973.7	11429.2	1706597.1	hammer
807.0	123281746.8	11492.8	1706760.3	hammer
807.1	123281518.7	11556.8	1706924.5	hammer
807.2	123281289.3	11621.1	1707089.6	hammer
807.3	123281058.6	11685.8	1707255.6	hammer
807.4	123280826.6	11750.8	1707422.6	hammer
807.5	123280593.3	11816.2	1707590.5	hammer
807.6	123280358.8	11882.0	1707759.3	hammer
807.7	123280122.9	11948.1	1707929.0	hammer
807.8	123279885.7	12014.6	1708099.7	hammer
807.9	123279647.2	12081.4	1708271.3	hammer
808.0	123279407.4	12148.7	1708443.9	hammer
808.1	123279166.3	12216.3	1708617.5	hammer
808.2	123278923.8	12284.2	1708792.0	hammer
808.3	123278679.9	12352.6	1708967.5	hammer
808.4	123278434.7	12421.3	1709143.9	hammer
808.5	123278188.2	12490.4	1709321.4	hammer
808.6	123277940.2	12559.9	1709499.8	hammer
808.7	123277690.9	12629.8	1709679.2	hammer
808.8	123277440.2	12700.1	1709859.7	hammer
808.9	123277188.2	12770.7	1710041.1	hammer
809.0	123276934.7	12841.8	1710223.5	hammer
809.1	123276679.8	12913.2	1710407.0	hammer
809.2	123276423.4	12985.1	1710591.5	hammer
809.3	123276165.7	13057.3	1710777.0	hammer
809.4	123275906.5	13130.0	1710963.5	hammer
809.5	123275645.9	13203.0	1711151.1	hammer
809.6	123275383.8	13276.5	1711339.7	hammer
809.7	123275120.3	13350.3	1711529.4	hammer
809.8	123274855.3	13424.6	1711720.1	hammer
809.9	123274588.9	13499.3	1711911.9	hammer
810.0	123274320.9	13574.4	1712104.7	hammer
810.1	123274051.5	13649.9	1712298.6	hammer
810.2	123273780.6	13725.8	1712493.6	hammer
810.3	123273508.1	13802.2	1712689.7	hammer
810.4	123273234.2	13879.0	1712886.9	hammer
810.5	123272958.7	13956.2	1713085.1	hammer
810.6	123272681.7	14033.8	1713284.5	hammer
810.7	123272403.2	14111.8	1713485.0	hammer
810.8	123272123.1	14190.3	1713686.6	hammer
810.9	123271841.4	14269.3	1713889.3	hammer
811.0	123271558.2	14348.6	1714093.2	hammer
811.1	123271273.4	14428.4	1714298.1	hammer
811.2	123270987.1	14508.7	1714504.3	hammer
811.3	123270699.1	14589.4	1714711.5	hammer
811.4	123270409.5	14670.5	1714919.9	hammer
811.5	123270118.4	14752.1	1715129.5	hammer
811.6	123269825.6	14834.2	1715340.3	hammer
811.7	123269531.2	14916.7	1715552.2	hammer
811.8	123269235.1	14999.6	1715765.3	hammer
811.9	123268937.4	15083.0	1715979.6	hammer
812.0	123268638.1	15166.9	1716195.0	hammer
812.1	123268337.0	15251.2	1716411.7	hammer
812.2	123268034.4	15336.1	1716629.6	hammer
812.3	123267730.0	15421.3	1716848.7	hammer
812.4	123267423.9	15507.1	1717069.0	hammer
812.5	123267116.2	15593.3	1717290.5	hammer
812.6	123266806.7	15680.0	1717513.3	hammer
812.7	123266495.5	15767.2	1717737.3	hammer
812.8	123266182.6	15854.9	1717962.5	hammer
812.9	123265868.0	15943.0	1718189.0	hammer
813.0	123265551.6	16031.7	1718416.8	hammer
813.1	123265233.4	16120.8	1718645.8	hammer
813.2	123264913.5	16210.5	1718876.1	hammer
813.3	123264591.8	16300.6	1719107.7	hammer
813.4	123264268.3	16391.2	1719340.5	hammer
813.5	123263943.0	16482.3	1719574.7	hammer
813.6	123263615.9	16574.0	1719810.1	hammer
813.7	123263287.0	16666.1	1720046.9	hammer
813.8	123262956.2	16758.8	1720285.0	hammer
813.9	123262623.7	16851.9	1720524.4	hammer
814.0	123262289.2	16945.6	1720765.2	hammer
814.1	123261953.0	17039.8	1721007.2	hammer
814.2	123261614.8	17134.5	1721250.7	hammer
814.3	123261274.8	17229.8	1721495.4	hammer
814.4	123260932.9	17325.5	1721741.6	hammer
814.5	123260589.1	17421.9	1721989.1	hammer
814.6	123260243.3	17518.7	1722238.0	hammer
814.7	123259895.7	17616.1	1722488.2	hammer
814.8	123259546.1	17714.0	1722739.9	hammer
814.9	123259194.6	17812.4	1722993.0	hammer
815.0	123258841.2	17911.4	1723247.4	hammer
815.1	123258485.7	18011.0	1723503.3	hammer
815.2	123258128.3	18111.1	1723760.6	hammer
815.3	123257768.9	18211.7	1724019.3	hammer
